Question	Answer	Source	Metadata	SuggestedQuestions
What do Sikhs think about terrorism and events like 9/11?	"Sikhs are against terrorism. Instead, Sikhs are commanded to defend the innocent and fight against oppression. Of course, some Sikhs have committed crimes against innocent victims, but these people do so against the teachings of the religion.  \n\nRecent media images cause a bias against people with turbans and beards but in fact Sikhs support defending the innocent, not harming them."	Gurdwara Knowledge Base.docx		[]
What does Sikhism say about pre-marital sex?	"Sikhs are forbidden to have sexual relations with anyone other than their spouse. Sikh teachings urge people to control all desires, including the sexual. The union of matrimony is considered very sacred and important, and sex outside this union is decried."	Gurdwara Knowledge Base.docx		[]
Do Sikhs believe in birth control?	"The Sikh scriptures do not expressly say, “Thou shall not consume birth control pills”. However, Sikhism places a very high importance on family life and family planning."	Gurdwara Knowledge Base.docx		[]
Do Sikhs have a clergy?	"The Sikh gurus were very clear about each Sikh making her or his own journey and not depending on clergy to show them the way. Sikhs do, however, have Granthis. These are people who have studied the Sikh scriptures extensively and are available in the Gurdwaras as teachers. They often lead a congregation, but members from the congregations – both men and women – can always perform the same ceremonies."	Gurdwara Knowledge Base.docx		[]
What is the bowing? What is matha teknaa?	"In every Gurdwara (Sikh place of congregation and worship), the Sikhs scripture, the Guru Granth Sahib, is placed at the back of the room, and everyone who enters the room, bows in front of it and touches their forehead to the ground. This is a symbol of surrendering yourself to the message of the scripture. Visitors don’t have to bow and can simply sit down with the congregation."	Gurdwara Knowledge Base.docx		[]
Why are men and women divided into separate sections while sitting in the gurdwara?	"The Sikh Gurus always taught equality between the sexes. For instance, the Gurus decried the cultural climate that denied women access to religion and gave women equal rights as men in all spheres. Still, in Sikh congregations, men and women are asked to sit side by side—women on one side of the Guru Granth Sahib, and men on the other. "	Gurdwara Knowledge Base.docx		[]
Why do people sit down on the floor for langar?	"The Sikh Gurus instituted the unique Sikh practice of Langar to break down caste barriers. Langar is food that is cooked by the members of the community and served by members of the community, to all people at the Gurdwara. The idea is to demonstrate equality of all people, irrespective of caste, creed, religion, race or sex. All Gurdwaras have a common kitchen, where Langar is cooked by volunteers and open to all."	Gurdwara Knowledge Base.docx		[]
Can women execute duties in a gurdwara or congregation?	"Sikhism does not delineate/define certain tasks to only men or only women. A woman can lead or take part in any service or ceremony just as a man would. However, there are cultural constraints which sometimes lead to very few women being leaders in congregations."	Gurdwara Knowledge Base.docx		[]
What is Sikhism?	"Sikhism is a monotheistic religion based on a definitive revelation. With over 25 million followers worldwide, Sikhism is one of the youngest major world religions. Sikhism was revealed to Guru Nanak over 500 years ago in the Punjab, the Sikh Homeland in South Asia. Sikhism preaches a message of devotion, remembrance of God at all times, truthful living, equality between all human beings and social justice, while emphatically denouncing superstitions and blind rituals."	Gurdwara Knowledge Base.docx		[]
Is Sikh pronounced seek?	"The correct pronunciation is “siKH”, and not “sEEk”. The latter is a mispronunciation."	Gurdwara Knowledge Base.docx		[]
How many Sikhs are there worldwide?	"Sikhism is one of the world’s youngest religions, but is the fifth largest religion in the world with over 25 million followers."	Gurdwara Knowledge Base.docx		[]
Tell me about Sikh Marriage? How and where is Sikh marriage performed?	"The Sikh marriage ceremony is called Anand Karaj. It is performed in the presence of the Guru Granth Sahib, the Sikh scripture. In a Sikh wedding, scripture is read from the Granth Sahib, and after each section the bride and groom walk around the Guru Granth Sahib, showing their commitment to the teachings being read. This is done four times. "	Gurdwara Knowledge Base.docx		[]
Do Sikhs take the dead body to the Gurdwara for Funeral?	"Sikhs burn their dead. As the body is bathed and clothed in fresh clothes by family members, Sikh prayers are said. The body is not taken to the Gurdwara, but community members say collective prayers. The ashes are usually gathered afterwards, and put afloat in a flowing body of water—Returning the person’s last physical remains to nature."	Gurdwara Knowledge Base.docx		[]
Is there an official Sikh greeting?	"The tenth Sikh Guru instructed Sikhs to greet each other with “Waheguru ji ka Khalsa,Waheguru ji ki Fateh!” (The Khalsa, the Initiated Sikh belongs to the Timeless, Immortal Power, and every victory of the Khalsa, is a victory of the Supreme Power!). Another common Sikh greeting is Sat Sri Akal! “The Timeless, Immortal Power, is the Truth”."	Gurdwara Knowledge Base.docx		[]
Do Sikhs have any dietary restrictions?	"The Sikh Gurus strongly forbade all rituals and superstitions. Sikhs are thus not allowed to eat any food prepared through a ritualistic process. Sikhs are not meant to eat Kosher (Jewish food prepared by a special ritual/process), or Halaal (Muslim meat prepared with a special ritual). Sikhs are also not supposed to drink alcohol or consume any other intoxicants."	Gurdwara Knowledge Base.docx		[]
"But I have seen Sikhs drink, how about that?"	"Sikhs are forbidden from drinking alcohol or consuming intoxicants. Again, people are known to divert from the religious teachings. Tell them they should not be doing it."	Gurdwara Knowledge Base.docx		[]
Is there a particular Sikh color?	"There is no particular color for Sikhs garb, turbans, festivals etc. The Sikh flag that is hoisted at almost every Gurdwara is a bright orange/saffron color or dark blue. These represent traditional colors for Sikhs, but are not ‘Sikh colors.’"	Gurdwara Knowledge Base.docx		[]
What is the official language of the Sikhs?	"Sikhism was born and flourished in the South Asian area called the Punjab, where the main language is Punjabi. However, since its conception more than 500 years ago, Sikhs have immigrated to many different parts of the world and the religion has spread over all continents. Sikhs thus speak many languages. The Sikh scripture is written in various dialects and languages but has the common script, “Gurmukhi.”"	Gurdwara Knowledge Base.docx		[]
What God Sikhs believe in?	There is only one God and Sikhs worship Him. Also Sikhs believe that their ten Gurus were messengers of God; their preaching and pronouncements are recorded in the Holy Book of Sikhs - Guru Granth Sahib. The last Guru commanded Sikhs to accord the same respect to Granth Sahib (The Holy Book) as to a living Guru. 	Gurdwara Knowledge Base.docx		[]
Are Sikhs required to keep hair and wear turban?	"Yes. The last Guru and master, who fought against the Moghul tyranny, ordained his followers as fearless crusaders against injustices and inequities and ordered them to keep their hair and wear turbans so that they can be recognized by those who seek shelter and (as mark of self-confidence and boldness) those who opposed them. "	Gurdwara Knowledge Base.docx		[]
"We are planning to have an Akhand Path/Sahaj Path at our home, how can you help?"	"We help and encourage our devotees and congregation to hold Sikh services at their residence. We provide and facilitate Guru Granth Sahib Ji's 'swaroop' for service at your residence and guide and advise in proding due respect, care, and protocol for the purpose. Please consult us while making a booking you also require services of Pathis, Granthi Sahib,and Kirtan etc."	Gurdwara Knowledge Base.docx		[]
On what days of the week Langar can be prepared for Sangat?	"Normally on Every Friday from 8:00 PM to 10:00 PM and Every Sunday from 8:00 AM to 10:00 AM is Breakfast, and 1:00 PM to 3:00 PM is Lunch."	Gurdwara Knowledge Base.docx		[]
If I have booked Langar on Sunday does that mean that we have to prepare Lunch and Breakfast both?	It is not Mandatory but you can go for both Breakfast and Lunch on Sunday if Available.	Gurdwara Knowledge Base.docx		[]
Can I decide my own Menu?	"You can decide your own menu, but please note: In case of special Menu either you should have idea about how to prepare for Large Gatherings, or you should call somebody who know how to prepare. Gurdwara can help only in case of normal Menu items listed under ""Langar Quantity"" Section."	Gurdwara Knowledge Base.docx		[]
Can I prepare Langar at my home?	"Yes, Normally people prefer to use Kitchen in Gurdwara and taking help of other people ( Sangat ) in Gurdwara."	Gurdwara Knowledge Base.docx		[]
What about Chapati's (Parshade)? How Many we need to prepare and can we get help on this?	Normally on Sunday we need about 250 Chapati's (Parshade). Sangat will help you totally in this.	Gurdwara Knowledge Base.docx		[]
How Many people Usually gather for langar?	On Friday about 100 and on Sunday in Breakfast on normal days around 30 and in Lunch about 150. On special dates number of people can increase.	Gurdwara Knowledge Base.docx		[]
Do I need to pay anything to Gurdwara?	"It’s good if you pay. We suggest a minimum of Rs. 51. This goes for all the kitchen supplies, lunch plates, glasses etc. used for Langar. For ONLY Breakfast no need to pay anything but for Friday and Sunday Langar please do."	Gurdwara Knowledge Base.docx		[]
What normally other people prepare for langar and breakfast?	"For Langar usually any sabizi + Dal + Plain Yougurt, and one Sweet dish. For Breakfast Normally people prepare Parantha (Alu, Methi, etc.) or dalia, Yogurt, pasta."	Gurdwara Knowledge Base.docx		[]
I want to prepare Rice; do I still need to prepare Chapati's (Parshade)?	"Yes, we still need to prepare Chapatis but this time it will be around 200."	Gurdwara Knowledge Base.docx		[]
What about Salad and Yogurt?	Normally we serve salad and Yogurt with Lunch (Langar). Some People Prefer to prepare Yogurt at home only or in Gurdwara instead of buying from market.	Gurdwara Knowledge Base.docx		[]
Can I use Items from Gurdwara Store?	"Absolutely, keep in mind though that Gurdwara Kitchen is like Community kitchen, so anybody can take and everybody has to contribute also. We will suggest that for Items like Wheat flour, Sugar, Salt please give us a call before bringing it over as sometimes we do have these items in abundance."	Gurdwara Knowledge Base.docx		[]
I do not know how to operate big kitchen apparatus; Can I get some help?	You can get help! Somebody will be in gurdwara to help you out or as always give us a call .	Gurdwara Knowledge Base.docx		[]
What about Gurdwara’s cooking oil?	You can use oil from Gurdwara Store. But please do keep in mind do not throw oil in Sink. Please do ask somebody in Gurdwara they can guide you where to put the used oil. It is very important for safety of kids and other people that hot oil should not be kept out like that only.	Gurdwara Knowledge Base.docx		[]
Do I need to prepare Deg or Parshaad also on my Langar?	You don’t have to prepare deg or parshaad on langar; we will take care of that. If you want to help you are most welcome.	Gurdwara Knowledge Base.docx		[]
Do I need to wash utensils and clean kitchen after Langar?	"As we have mentioned Gurdwara is maintained by sangat only. So, if u want to help no issues at all else sangat will take care."	Gurdwara Knowledge Base.docx		[]
What happens in a Gurdwara?	"A Gurdwara is the place where Sikhs come together for congregational worship. The literal meaning of the Punjabi word Gurdwara is 'the residence of the Guru', or 'the door that leads to the Guru'. In a modern Gurdwara, the Guru is not a person but the book of Sikh scriptures called the Guru Granth Sahib."	Gurdwara Knowledge Base.docx		[]
What is Worshipped in Gurdwara?	"Gurdwara, the Sikh Place of Worship. Gurdwara means the ""guru's door"". A gurdwara is the Sikh meeting place for worship. The members of the congregation, welcome all people to worship in the gurdwara regardless of caste, color, or creed."	Gurdwara Knowledge Base.docx		[]
What is special about Gurdwara Panja Sahib?	Gurdwara Panja Sahib is one of the holiest places in Sikhism which is believed to hold a rock handprint of Guru Nanak.	Gurdwara Knowledge Base.docx		[]
Do foreigners visit this Gurdwara?	"Thousands of faithful Sikhs from all over the globe visit this shrine. However, twice a year, during special celebrations, an enormous number of Sikh pilgrims attend this Gurdwara from every corner of the world. Special visas are allocated by the Pakistan government to cater for the increased demand."	Gurdwara Knowledge Base.docx		[]
What does Panja mean?	"The word Panja in Punjabi means an ""outstretched palm"" from the word ""panj"" which means ""five""."	Gurdwara Knowledge Base.docx		[]
What is the whole story of Panja Sahib? What is the history of Panja Sahib?	Please refer to “Get an Overview” by typing “MENU”.	Gurdwara Knowledge Base.docx		[]
Who built the Gurdwara Panja Sahab?	"A beautiful large gurdwara built in the Mughal style by Maharaja Ranjit Singh(1780-1839). The gurdwara houses the Guru Granth Sahib - the holy book of Sikhs. A large double storied hostel for the yatrees or pilgrims surrounds the courtyard, the pool and the gurdwara. "	Gurdwara Knowledge Base.docx		[]
How many times do the Sikhs visit the Panja Sahab in a year?	Twice a year.	Gurdwara Knowledge Base.docx		[]
Can only Sikhs visit the Panja Sahab? Do only Sikhs visit this Gurdwara?	"The gurdwara visited by both Hindus and Sikhs for pilgrimage twice a year. Also, anyone is welcome to worship in a gurdwara regardless of caste, color, or creed. "	Gurdwara Knowledge Base.docx		[]
Is the facility to stay available in Panja Sahab?	"People can stay in the Gurdwara. The gurdwara has 376 rooms and all pilgrims are given free food from the temple’s kitchen for the duration of their stay. A large dining hall was built in 2010-11 which can accommodate over 1,000 people at a time."	Gurdwara Knowledge Base.docx		[]
"What things should keep in mind if someone thinking of visiting a Gurdwara Panja Sahab? I want to visit the Gurdwara, is there a code of conduct or protocol that I need to observe?"	"If you are thinking of visiting a gurdwara, here are some things to keep in mind: be modestly attired. Cover your head. Remove your shoes. Wash hands, and feet if needed. Bow respectfully before the Guru Granth. Offer any donation such as flowers, food items, or money. Sit quietly on the floor with your legs crossed, and face towards Guru Granth."	Gurdwara Knowledge Base.docx		[]
What is the important of Guru Granth Scripture?	"Guru Granth Sahib is the central focus of the Sikh worship service. Before the main worship service begins, a Sikh offers a prayer of ardas. Every one present stands. A Sikh attendant able to read the Gurmukhi scripture then performs prakash to ceremoniously open and invoke the manifest light of the Guru Granth."	Gurdwara Knowledge Base.docx		[]
What is required to have for scripture of Guru Granth Sahib?	"Whether day or night, open or closed, the resting place for scripture of Guru Granth Sahib is required to have: a canopy on head. A platform, table, or cot, with small cushions, padding, and pillows, or similar items. Rumala coverlets to drape over the Guru Granth. A small chaur sahib, or whisk to fan the Guru Granth."	Gurdwara Knowledge Base.docx		[]
"In which Gurdwara worship services, Visitors are allowed to take part?"	"Kirtan, Gurbani, Simran and Naam Jap, Ardas, Hukam, Prashad are the services in witch Visitors are allowed to take part."	Gurdwara Knowledge Base.docx		[]
Which practices are not excused within the Gurdwara Panja Sahab? What is prohibited in the Gurdwara? What shouldn’t I do at the Gurdwara?	"Ceremonies and practices not condoned within the gurdwara include: Festivities associated with other faiths. Any other book or scripture level with, or above Guru Granth. Rituals involving burning lamps & incense. Sounding a gong. Keeping water beneath the cot on which Guru Granth rests. Sitting with legs extended or feet pointed towards Guru Granth. Massaging, pressing or rubbing floor, walls, or legs supporting the Guru's cot. Smoking, drinking, dancing, or parties."	Gurdwara Knowledge Base.docx		[]
What should I wear for Gurudwara?	"The traditional attire that men wear to the Gurdwara comprises a loose kurta that is of full-sleeves, which is worn along with a pair of pajamas or loose trousers that are comfortable for sitting down on the carpet for prayer."	Gurdwara Knowledge Base.docx		[]
Can anyone visit a Gurdwara?	"Anyone, of any faith, can visit a Gurdwara and will be made welcome."	Gurdwara Knowledge Base.docx		[]
When do people visit Gurdwara?	"In India, many Sikhs visit a Gurdwara before work. In Pakistan 39% of Sikhs go once a week, and while Sikhs do not regard any particular day of the week as a holy day, they usually go to a Gurdwara on Sundays as that fits the pattern of work."	Gurdwara Knowledge Base.docx		[]
What are the rules in a Gurdwara?	"The Gurudwara Rules are actually quite simple, Cover Your head. You can cover your head son kind of cloth, your hoodie, or a turban but don't cover it with a cap. Take of your shoes and socks. Clean Your hands and feet before you enter."	Gurdwara Knowledge Base.docx		[]
Are shorts allowed in Gurudwara?	"Miniskirts, and shorts or short blouses are not acceptable. Please switch off mobiles (especially in prayer hall). "	Gurdwara Knowledge Base.docx		[]
Are shoes allowed in Gurdwara?	Shoes are not allowed anywhere inside the Gurdwara premises.	Gurdwara Knowledge Base.docx		[]
Can you go to Gurudwara in periods?	It's nowhere written in Shri Guru Granth Sahib (holy book of Sikhs) that a woman is barred from entering Gurudwara at any phase of her biological cycle. The only thing you have to follow while entering a Gurudwara is make sure your head is covered.	Gurdwara Knowledge Base.docx		[]
Why do you have to cover your head in a Gurdwara?	"God being the supreme, our heads need to be covered all the time in order to pay the respect. Thus, the most prominent reason for covering the heads in Gurudwara is respect. For the Sikhs who cut their hair and then keep it covered when they go to Gurudwara Sahib, I would say that it is of no use."	Gurdwara Knowledge Base.docx		[]
Why Sikh cover their head?	"All Sikh Gurus since Guru Nanak have worn turbans. However, covering one's hair with a turban was made an official policy by Guru Gobind Singh, the tenth Guru of the Sikhs. Some other reasons Sikhs wear the turban are to take care of the hair, promote equality, and preserve the Sikh identity."	Gurdwara Knowledge Base.docx		[]
Why do Sikhs wear turbans?	"All Sikh Gurus since Guru Nanak have worn turbans. However, covering one's hair with a turban was made an official policy by Guru Gobind Singh, the tenth Guru of the Sikhs. Some other reasons Sikhs wear the turban are to take care of the hair, promote equality, and preserve the Sikh identity."	Gurdwara Knowledge Base.docx		[]
Do all Sikh males wear turbans?	"All Sikh Gurus since Guru Nanak have worn turbans. However, covering one's hair with a turban was made an official policy by Guru Gobind Singh, the tenth Guru of the Sikhs. Some other reasons Sikhs wear the turban are to take care of the hair, promote equality, and preserve the Sikh identity."	Gurdwara Knowledge Base.docx		[]
Which type of food is served at Sikh community kitchens?	"In the Gurdwara's dining area, most people sit on the floor while eating. The food is made round the clock by volunteers and funded by donations. In Sikhism, only vegetarian food is served in the gurdwara so the cuisine includes lentils, roti Indian bread, vegetables, yoghurt and Indian sweets."	Gurdwara Knowledge Base.docx		[]
What is the Sikh book called?	"The Guru Granth Sahib is a collection of teachings and writings by Guru Nanak and other Gurus as well as Sikh, Hindu and Muslim saints. These scriptures are written in Punjabi and are greatly respected by all Sikhs as the living word of God."	Gurdwara Knowledge Base.docx		[]
What are Sikh beliefs?	"The Sikh beliefs are the God and the cycle of life. Sikhs believe that human beings spend their time in a cycle of birth, life, and rebirth. They share this belief with followers of other Indian religious traditions such as Hinduism, Buddhism and Jainism."	Gurdwara Knowledge Base.docx		[]
What is the Langar meal?	"Langar, sometimes also called Mahaparasada, is the term used in Sikhism for the community kitchen in a Gurdwara where a free meal is served to all the visitors, without distinction of religion, caste, gender, economic status or ethnicity. The free meal is always vegetarian."	Gurdwara Knowledge Base.docx		[]
What is a Takht in Sikhism?	"Takht, or Ta??ata, which literally means a throne or seat of authority, is a result of the historical growth of the religion of Sikhism. There are five Takhts and these Takhts are the five gurudwaras which have a very special significance for the Sikh community."	Gurdwara Knowledge Base.docx		[]
What does Guru Granth Sahib mean?	"The Guru Granth Sahib, also called Adi Granth, is the holy book of the religion Sikhism. It contains prayers, and hymns of Sikh religion. Thus, the Guru Granth Sahib means a Master Book by the Teacher."	Gurdwara Knowledge Base.docx		[]
How do Sikhs worship?	"Sikhs believe that God is visible in the Sikh congregation or Sangat, and that God is pleased by the act of serving the Sangat. Congregational Sikh worship takes place in a Gurdwara. Sikh public worship can be led by any Sikh, male or female, who is competent to do so."	Gurdwara Knowledge Base.docx		[]
When was the Guru Granth Sahib written?	"Adi Granth, the first rendition, was compiled by the fifth Sikh guru, Guru Arjan. The tenth guru, Guru Gobind Singh, added one shloka, dohra mahala 9 ang, 1429 and all 115 hymns of his father, Guru Tegh Bahadur. This second rendition came to be known as Sri Guru Granth Sahib."	Gurdwara Knowledge Base.docx		[]
Do Sikhs go to temple?	"A Sikh temple or Gurdwara (the door or the gateway to the Guru) is a place of worship in the Sikh religion. In the temple, the Sikh scriptures are recited or sung, and sermons are given. Guru Granth Sahib is usually placed at one end of the temple, high up under a canopy."	Gurdwara Knowledge Base.docx		[]
What does the Sikh religion believe?	"Sikhs believe in reincarnation and karma concepts found in Buddhism, Hinduism and Jainism. However, in Sikhism both karma and liberation ""is modified by the concept of God's grace"" (nadar, mehar, kirpa, karam etc.). Guru Nanak states ""The body takes birth because of karma, but salvation is attained through grace""."	Gurdwara Knowledge Base.docx		[]
Why is sewa important?	"Sewa is an important part of worship. Sikhs fulfil this duty when they help in the langar or look after the gurdwara, study the Guru Granth Sahib and teach it to others and give money or other help to people in need."	Gurdwara Knowledge Base.docx		[]
Do Sikhs drink alcohol?	"Consumption of drugs and tobacco, and other intoxicants is not allowed for Sikhs. Non-baptised Sikhs should refrain from alcohol as it is still a sin for Sikhs to consume intoxicants."	Gurdwara Knowledge Base.docx		[]
Why do Sikhs not cut their hair?	"In Sikhism, Kesh (sometimes Kes) is the practice of allowing one's hair to grow naturally out of respect for the perfection of God's creation. The practice is one of The Five Kakaars, the outward symbols ordered by Guru Gobind Singh in 1699 as a means to profess the Sikh faith."	Gurdwara Knowledge Base.docx		[]
Why do Sikhs do Langar?	"In Sikhism, the practice of the langar, or free kitchen, is believed to have been started by the first Sikh Guru, Guru Nanak. It was designed to uphold the principle of equality between all people regardless of religion, caste, color, creed, age, gender or social status."	Gurdwara Knowledge Base.docx		[]
Who invented Sikh religion?	"The history of Sikhism started with Guru Nanak Dev Ji, the first Guru in the fifteenth century in the Punjab region in the northern part of the Indian subcontinent. The religious practices were formalized by Guru Gobind Singh Ji on 13 April 1699."	Gurdwara Knowledge Base.docx		[]
What happens during Sikh worship?	"Public worship. Although Sikhs can worship on their own, they see congregational worship as having its own special merits. Sikhs believe that God is visible in the Sikh congregation or Sangat, and that God is pleased by the act of serving the Sangat. Congregational Sikh worship takes place in a Gurdwara."	Gurdwara Knowledge Base.docx		[]
What are the rooms in a Gurdwara?	"The Sikh families that come from far off places endeavor to stay in the rooms of the Gurdwara for the duration of pilgrimage or their tour. So, the rooms are for visitors."	Gurdwara Knowledge Base.docx		[]
What does the Nishan Sahib symbolize?	"The Nishan Sahib is a Sikh triangular flag made of cotton or silk cloth, with a tassel at its end. The word, Nishan means symbol, and the flag is hoisted on a tall flagpole, outside most Gurdwaras. The flagpole itself, covered with fabric, ends with a two-edged dagger (khanda) on top."	Gurdwara Knowledge Base.docx		[]
How many Sikh gods are there?	Our 10 gurus have taught us about a single God.	Gurdwara Knowledge Base.docx		[]
What is the difference between Sikh and Hindu?	"Hinduism and Sikhism are both Dharmic religions that originated in the Indian Subcontinent. Hinduism is an older religion, while Sikhism was founded in the 15th-century by Guru Nanak. In the days of the Mughal Empire, the Sikh community came to the defense of Hindus who were being forcibly converted to Islam."	Gurdwara Knowledge Base.docx		[]
Did Sikh gurus eat meat?	"Sikhs gurus considered that vegetarianism, and didn’t eat meat."	Gurdwara Knowledge Base.docx		[]
Can a Sikh marry a non Sikh?	"Marrying people of other faiths is acceptable, they say, but conducting that marriage in a Sikh temple is not. Non-Sikhs can only be involved if they accept the Sikh faith and change their name to include Singh or Kaur, the council insists."	Gurdwara Knowledge Base.docx		[]
What God do Sikh worship?	"The Sikhs worship in numerous ways in their hymns included in the Guru Granth Sahib, the holy scripture of Sikhism, but the oneness of the deity is consistently emphasized throughout."	Gurdwara Knowledge Base.docx		[]
What is the symbol of Sikhism?	"It depicts the Sikh doctrine Deg Tegh Fateh in emblematic form. It consists of three weapons and a circle: the khanda, two kirpans and the chakkar which is a circle. It is the military emblem of the Sikhs. It is also part of the design of the Nishan Sahib."	Gurdwara Knowledge Base.docx		[]
How many people visit Panja Sahib?	"More than 500 people visit the Gurdwara every day, and the number increases on weekends and special days. People from all over the world especially ""Sikhs"" visit Sri Panja Sahib at least once in their life time. Everybody is welcome at the langar, no one is turned away."	Gurdwara Knowledge Base.docx		[]
What is panja sahib famous for?	Sri Panja Sahib is famous for the handprint of Guru Nanak Dev Ji.	Gurdwara Knowledge Base.docx		[]
Where is the Sikh holy book kept at night?	The Guru Granth Sahib is kept in the Gurdwara.	Gurdwara Knowledge Base.docx		[]
What is the Sikh bible called?	"The principal Sikh scripture is the Adi Granth (First Scripture), more commonly called the Guru Granth Sahib. The Sikhs do not regard this as their ""holy book"" but as their perpetual and current ""guru"", guide or master."	Gurdwara Knowledge Base.docx		[]
Can anyone be a Sikh?	"Sikhism does not favor proselytizing or vigorous conversion campaigns, but allows people to follow the religion according to their own will. Anyone interested in becoming a Sikh is free to do so irrespective of gender, race or ethnicity."	Gurdwara Knowledge Base.docx		[]
Can Sikhs eat beef?	"Sikhs, once they become Amritdhari (baptised) via the Amrit Sanchaar (baptism ceremony), are forbidden from eating Kutha or ritually-slaughtered (Halal, Kosher) meat because it transgresses one of the four restrictions in the Sikh Code of Conduct."	Gurdwara Knowledge Base.docx		[]
How Guru Gobind Singh was died?	Guru Gobind Singh died from a severe wound.	Gurdwara Knowledge Base.docx		[]
What is kept in Gurudwara?	"The Guru Granth Sahib is kept in a room of its own during the night, and carried in procession to the main hall at the start of the day's worship. The book is placed on a raised platform (Takht or Manji Sahib, meaning ""throne"") under a canopy (Chanani or Palki), and covered with an expensive cloth when not being read."	Gurdwara Knowledge Base.docx		[]
Do Sikh wash their hair?	"The Sikhs do wash their hair. Normally turbans are only removed in the most intimate of circumstances, when bathing the head, or washing the hair."	Gurdwara Knowledge Base.docx		[]
Can Sikh eat eggs?	"In Sikhism, only lacto-vegetarian food is served in the Gurdwara (Sikh temple) but Sikhs are not bound to be meat-free. And yes, Sikhs can eat eggs. The general consensus is that Sikhs are free to choose whether to adopt a meat diet or not."	Gurdwara Knowledge Base.docx		[]
What is Anand Karaj ceremony?	"Anand Karaj is the Sikh marriage ceremony, meaning ""Blissful Union"" or ""Joyful Union"", that was introduced by Guru Amar Das. The four laavaan (hymns which take place during the ceremony) were composed by his successor, Guru Ram Das."	Gurdwara Knowledge Base.docx		[]
Which guru started the Langar community kitchen?	Guru Nanak Dev Ji started the langar community kitchen.	Gurdwara Knowledge Base.docx		[]
What is Miri Piri?	"Guru Har Gobind introduced the two swords of Miri and Piri symbolizing both worldly (political) and spiritual authority. The two kirpan of Miri and Piri are tied together with a khanda in center, where Piri is considered supreme then Miri because it symbolizes Spirituality."	Gurdwara Knowledge Base.docx		[]
Who killed Guru Gobind Singh?	"They gained access to the Guru and Jamshed Khan stabbed Guru Gobind Singh with a fatal wound at Nanded. Some scholars state that the assassin who killed Guru Gobind Singh may not have been sent by Wazir Khan, but was instead sent by the Mughal army that was staying nearby."	Gurdwara Knowledge Base.docx		[]
Can Sikhs pray at home?	"Sikhs pray at home, but they prefer congregational worship. Sikhs believe that God is visible in the Sikh congregation or Sangat, and that God is pleased by the act of serving the Sangat."	Gurdwara Knowledge Base.docx		[]
Do Sikhs believe in miracles?	"Most Sikhs believe God has the power to perform miracles but that the Gurus did not approve of using miracles to impress people. This teaches Sikhs that God (and meditation on God, the 'True Name') is more important and amazing than any supposed miracle."	Gurdwara Knowledge Base.docx		[]
What language do Sikh speak?	Punjabi language.	Gurdwara Knowledge Base.docx		[]
Where did the Sikh religion start?	"Sikhism was born in the Punjab area of South Asia, which now falls into the present-day states of India and Pakistan. The main religions of the area at the time were Hinduism and Islam. The Sikh faith began around 1500 CE, when Guru Nanak began teaching a faith that was quite distinct from Hinduism and Islam."	Gurdwara Knowledge Base.docx		[]
Is Sikh a Hindu?	Sikhs and Hindus are different.	Gurdwara Knowledge Base.docx		[]
What are the 5 Sikh prayers?	"The Five Banis are: Japji Sahib, Jaap Sahib, Tav-Prasad Savaiye, Chaupai, and Anand Sahib. These banis are usually recited daily by all devoted Sikhs in the early morning as a part of their Nitnem (daily mediations). Rehras and Kirtan Sohila are recited in the evening."	Gurdwara Knowledge Base.docx		[]
When did Guru Gobind Singh Ji died?	"Guru Gobind Singh died on October 7, 1708."	Gurdwara Knowledge Base.docx		[]
How many ragas the Bani of Guru Granth Sahib has been divided?	"The Sikh holy scripture, Guru Granth Sahib, is composed in and divided by 60 ragas."	Gurdwara Knowledge Base.docx		[]
How do Sikhs marry?	"Hindu-type of marriage rituals are strictly forbidden. Most marriages take place in the morning. The ceremony starts with a meeting of the two sides called Milni at which holy shabads (hymns from the Sikh Scripture, Guru Granth Sahib) are sung."	Gurdwara Knowledge Base.docx		[]
How many wives did Guru Gobind Singh Ji had?	Guru Gobind Singh had three wives.	Gurdwara Knowledge Base.docx		[]
Who killed Guru Gobind Singh Sons?	"The two sons of Guru Gobind Singh, Zorawar (9 years old) and Fateh (6 years old) were offered safe passage if they became Muslims. Both refused, and so Wazir Khan sentenced them to death. They were bricked alive."	Gurdwara Knowledge Base.docx		[]
What did Guru Ram Das do for Sikhism?	"Guru Ram Das was the fourth of the ten Gurus of Sikhism. He was born on 24 September 1534 in a poor Hindu family based in Lahore, part of what is now Pakistan. Ram Das became the Guru of Sikhism in 1574 and served as the Sikh leader until his death in 1581."	Gurdwara Knowledge Base.docx		[]
